Ident ,DIM
100113HO ,145
100114JE ,3
100114JE ,300
100116JE ,190
100116JE ,197
100116JE ,195
100116JE ,289
100116JE ,281
100117HO ,271
100117HO ,227
100119CP   ,158
100119CP   ,35
100119CP   ,84
100119CP   ,104
100119CP   ,332
100119JE ,193
100119JE ,199
100119JE ,267
100119JE ,249
100120HO ,351
100120HO ,36
100121HO ,274
100121HO ,284
100121HO ,177
100121HO ,157
100122HO ,355
100123HO ,53
100125HO ,297
100126HO ,185
100127JE ,203
100127JE ,238
100127JE ,261
100127JE ,270
100129HO ,319
100129HO ,242
100129HO ,251
100129HO ,214
100129HO ,350
100130HO ,316
100130HO ,256
100131HO ,405
100132HO ,408
100132HO ,394
100132HO ,360
100132HO ,221
100134HO ,271
100134HO ,180
100135CP ,303
100135HO ,207
100135HO ,202
100136HO ,386
100136HO ,266
100136HO ,350
100136HO ,284
100137HO ,201
100137HO ,172
100138HO ,437
100139HO ,380
100140HO ,308
100142HO ,158
100142HO ,141
100143HO ,476
100143ME   ,455
100147HO ,235
100148HO ,362
100148HO ,281
100150HO ,238
100150HO ,376
100151HO ,34
100152HO ,83
100154HO ,538
100154HO ,490
100154HO ,63
100156HO ,215
100156HO ,199
100157HO ,183
100157HO ,262
100157HO ,175
100157HO ,273
100157HO ,201
100158HO ,405
100160HO ,386
100160HO ,259
100160HO ,213
100164HO ,193
100167HO ,274
100167HO ,283
100167HO ,324
100170HO ,22
100170HO ,87
100175HO ,49
100178HO ,273
100178HO ,211
100178HO ,247
100178HO ,221
100178HO ,249
100178HO ,186
100179HO ,224
100184HO ,200
100185HO ,164
100191HO ,217
100193HO ,240
100193HO ,84
100195HO ,353
100195HO ,288
100195HO ,256
100195HO ,284
100196HO ,249
100196HO ,227
100196HO ,271
100196HO ,258
100196HO ,29
100197HO ,421
100197HO ,309
100197HO ,273
100197HO ,307
100199HO ,195
100199HO ,290
100200HO ,368
100200HO ,317
100200HO ,247
100200HO ,416
100200HO ,245
100201HO ,272
100201HO ,210
100202HO ,311
100202HO ,294
100202HO ,282
100202HO ,266
100202HO ,201
100203HO ,234
100203HO ,69
100204HO ,45
100206HO ,331
100206HO ,291
100207HO ,197
100207HO ,93
100207ME   ,9
100208HO ,291
100208HO ,262
100208HO ,197
100208HO ,391
100208HO ,328
100209HO ,355
100209HO ,259
100209HO ,203
