Ident,TotLec
110957HO  ,363.3999939
110957HO  ,357
110957HO  ,368.2000122
110957HO  ,403.2000122
110957HO  ,387.1000061
110957HO  ,406.7000122
110957HO  ,425.6000061
110957HO  ,387.1000061
110957HO  ,336.2999878
110957HO  ,226.8999939
110957HO  ,211.1000061
110957HO  ,169.8000031
110957HO  ,157.6999969
110957HO  ,86.59999847
110957HO  ,139.6999969
110957HO  ,41
110957HO  ,71.90000153
110957HO  ,343.3999939
110957HO  ,359.1000061
110957HO  ,361.2000122
110957HO  ,386.3999939
110957HO  ,371
110957HO  ,317.7999878
110957HO  ,331.1000061
110957HO  ,270.2000122
110957HO  ,276.5
110957HO  ,365.3999939
110957HO  ,310.6000061
110957HO  ,317
110957HO  ,302.2999878
110957HO  ,190.8000031
110957HO  ,206.5
110957HO  ,165.5
110957HO  ,164.3999939
110957HO  ,137.8999939
110957HO  ,124.4000015
110957HO  ,84.5
110957HO  ,101.1999969
110957HO  ,288.1000061
110957HO  ,340.8999939
110957HO  ,308.5
110957HO  ,318.7999878
110957HO  ,241.3000031
110957HO  ,266.1000061
110957HO  ,276.6000061
110957HO  ,257.5
110957HO  ,285.5
110957HO  ,273.1000061
110957HO  ,258.8999939
110957HO  ,264.2000122
110957HO  ,204
110961HO  ,40.09999847
110961HO  ,105.8000031
110961HO  ,83.90000153
110961HO  ,199.3999939
110961HO  ,347.7999878
110961HO  ,342
110961HO  ,168.1999969
110961HO  ,114.5
110961HO  ,115.5
110961HO  ,136.3999939
110961HO  ,135
110961HO  ,127.5
110961HO  ,128.8000031
110961HO  ,88.59999847
110961HO  ,32.09999847
110961HO  ,244.3999939
110961HO  ,246.8999939
110961HO  ,294.1000061
110961HO  ,291.2999878
110961HO  ,277.7999878
110961HO  ,265.3999939
110961HO  ,246
110961HO  ,210.8000031
110961HO  ,196.6999969
110961HO  ,171.6999969
110961HO  ,133.5
110961HO  ,104.0999985
110961HO  ,84.59999847
110961HO  ,71.09999847
110961HO  ,95.90000153
110961HO  ,71.09999847
110961HO  ,65.40000153
110967HO  ,158.6000061
110967HO  ,242.1000061
110967HO  ,84.69999695
110967HO  ,0
110967HO  ,120.4000015
110967HO  ,116.8000031
110967HO  ,237.8999939
110967HO  ,128.1999969
110967HO  ,127.5999985
110967HO  ,496.2999878
110967HO  ,472.1000061
110967HO  ,235.3999939
110967HO  ,216.3999939
110967HO  ,236.8999939
110967HO  ,232.8000031
110967HO  ,190.6999969
110967HO  ,176.5
110967HO  ,197.5
110967HO  ,184.1000061
110967HO  ,163
110967HO  ,159
110967HO  ,174.5
110967HO  ,93.40000153
110967HO  ,217.8999939
110967HO  ,275.7000122
110967HO  ,229.8999939
110967HO  ,228.1000061
110967HO  ,202.6000061
110967HO  ,224.6000061
110967HO  ,226.6999969
110967HO  ,139.3000031
110967HO  ,109
110967HO  ,116.4000015
110967HO  ,114.5
110967HO  ,98.09999847
110967HO  ,83.69999695
110967HO  ,63.90000153
110967HO  ,52.59999847
110967HO  ,191.1000061
110967HO  ,355.6000061
110967HO  ,260.3999939
110967HO  ,205.6999969
110967HO  ,288.5
110967HO  ,289.7000122
110967HO  ,281.5
110967HO  ,274.5
110967HO  ,259.7999878
110967HO  ,212.1999969
110967HO  ,179.1999969
110967HO  ,172.3999939
110967HO  ,177.3000031
110967HO  ,158.1000061
110967HO  ,80.5
110968HO  ,38.29999924
110968HO  ,54.29999924
110968HO  ,155.6000061
110968HO  ,377.7000122
110968HO  ,425.8999939
110968HO  ,222.5
110968HO  ,213.3999939
110968HO  ,175.8000031
110968HO  ,194
110968HO  ,191
110968HO  ,231.3000031
110968HO  ,195.3000031
110968HO  ,177.6999969
110968HO  ,116.3000031
110968HO  ,0
110968HO  ,128.3000031
110968HO  ,177.6000061
110968HO  ,153.8999939
110968HO  ,209.3000031
110968HO  ,201.6000061
110968HO  ,144.6999969
110968HO  ,126.5999985
110968HO  ,155.3000031
110968HO  ,223.6999969
110968HO  ,201.5
110968HO  ,84.40000153
110969HO  ,171.3999939
110969HO  ,100.9000015
110969HO  ,95.40000153
110969HO  ,0
110969HO  ,74.90000153
110969HO  ,90.30000305
110969HO  ,188.3999939
110969HO  ,172.5
110969HO  ,336.7999878
110969HO  ,282.7000122
110969HO  ,157.8999939
110969HO  ,150
110969HO  ,109
110969HO  ,138.6999969
110969HO  ,79.69999695
110969HO  ,145.1999969
110969HO  ,47.29999924
110969HO  ,142.1999969
110969HO  ,187.3000031
110969HO  ,181
110969HO  ,130.6000061
110969HO  ,124
110969HO  ,147.1000061
110969HO  ,96.40000153
110969HO  ,68.40000153
110969HO  ,51.20000076
110969HO  ,0
110969HO  ,251.6000061
110969HO  ,267.7999878
110969HO  ,258.2999878
110969HO  ,199.6000061
110969HO  ,182.3999939
110969HO  ,203.1000061
110969HO  ,190.3999939
110969HO  ,224.5
110969HO  ,281.7999878
110969HO  ,268
110969HO  ,208.6999969
110969HO  ,198.6999969
110969HO  ,187
110969HO  ,122.8000031
110969HO  ,53.90000153
110969HO  ,227.8000031
110969HO  ,229.6999969
110969HO  ,267.2999878
110969HO  ,282.2000122
110969HO  ,271.2999878
110969HO  ,285.7000122
110969HO  ,225.6999969
110969HO  ,213.1000061
110969HO  ,255.5
110969HO  ,292.6000061
110969HO  ,341.6000061
110969HO  ,284
110969HO  ,279.3999939
110969HO  ,243.3000031
110969HO  ,164.1999969
110969HO  ,173.8999939
110969HO  ,136.1999969
110969HO  ,116.8000031
110969HO  ,94.90000153
110969HO  ,155.3999939
110969HO  ,134.3000031
110969HO  ,0
110969HO  ,229
110969HO  ,273.6000061
110969HO  ,264.7999878
110969HO  ,296.5
110969HO  ,252.1000061
110969HO  ,151.1000061
110969HO  ,144.1999969
110969HO  ,236.8000031
110969HO  ,243.6999969
110969HO  ,259.2999878
110969HO  ,309.1000061
110969HO  ,305.2000122
110969HO  ,222.1999969
110970HO  ,15.30000019
110970HO  ,427.6000061
110970HO  ,100.8000031
110970HO  ,140.6000061
110970HO  ,197.8000031
110970HO  ,192.6999969
110970HO  ,228.5
110970HO  ,241.3999939
110970HO  ,243.1999969
110970HO  ,196.8000031
110970HO  ,245.8000031
110970HO  ,188
110970HO  ,219.3000031
110970HO  ,156.1999969
110970HO  ,147.1999969
110970HO  ,171.1000061
110970HO  ,165.5
110970HO  ,158.3999939
110970HO  ,146.6999969
110970HO  ,123
110970HO  ,79.19999695
110970HO  ,21
110970HO  ,240.6999969
110970HO  ,286.2000122
110970HO  ,269.7999878
110970HO  ,236.6999969
110970HO  ,184.3000031
110970HO  ,168.1000061
110970HO  ,212.6000061
110970HO  ,154
110970HO  ,169.3000031
110970HO  ,169.3000031
110970HO  ,187.5
110970HO  ,206.1000061
110970HO  ,206.3999939
110970HO  ,201.6999969
110970HO  ,181.1000061
110970HO  ,138.8000031
110970HO  ,132.1999969
110970HO  ,133.1000061
110970HO  ,72.40000153
110970HO  ,0
110970HO  ,169.3999939
110970HO  ,215
110970HO  ,206.8000031
110970HO  ,226.1000061
110970HO  ,216.1000061
110970HO  ,286.7999878
110970HO  ,262.7000122
110970HO  ,248
110970HO  ,246.5
110970HO  ,136.8000031
110970HO  ,208.6000061
110970HO  ,135.3000031
110970HO  ,89.80000305
110970HO  ,82
110970HO  ,64.59999847
110970HO  ,28.29999924
110971HO  ,250.6999969
110971HO  ,285.6000061
110971HO  ,0
110971HO  ,80
110971HO  ,94.19999695
110971HO  ,232.8000031
110971HO  ,251.3000031
110971HO  ,233.5
110971HO  ,250
110971HO  ,310.7999878
110971HO  ,310
110971HO  ,290.7000122
110971HO  ,294.2000122
110971HO  ,259.1000061
110971HO  ,253.6000061
110971HO  ,243.8999939
110971HO  ,212.8999939
110971HO  ,205.6000061
110971HO  ,226.8999939
110971HO  ,242.6000061
110971HO  ,231.5
110971HO  ,195
110971HO  ,201
110971HO  ,158.1999969
110971HO  ,64.69999695
110971HO  ,248.3999939
110971HO  ,427
110971HO  ,433.2999878
110971HO  ,314.3999939
110971HO  ,316.7000122
110971HO  ,261.7999878
110971HO  ,180
110971HO  ,165.6000061
110971HO  ,188.1999969
110971HO  ,184.6000061
110971HO  ,240.3999939
110971HO  ,193.3999939
110971HO  ,166.1999969
110971HO  ,174.3999939
110971HO  ,169.1000061
110971HO  ,133.6000061
110971HO  ,210.3000031
110971HO  ,27.20000076
110971HO  ,212.8999939
110971HO  ,230.1000061
110971HO  ,212.8999939
110971HO  ,277.3999939
110971HO  ,266.7999878
110971HO  ,261.6000061
110971HO  ,270.7999878
110971HO  ,287.3999939
110971HO  ,285.1000061
110971HO  ,266.5
110971HO  ,279.2000122
110971HO  ,263.3999939
110971HO  ,245.3000031
110971HO  ,239.8999939
